2020-07-05 10:34:02 INFO  [main]: start SingInTest test getMailAndPassErrorTest
2020-07-05 10:34:08 INFO  [main]: start SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: finish SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: start SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: finish SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: start SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: finish SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: start SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: finish SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: start SingInTest test readDown
2020-07-05 10:34:10 INFO  [main]: finish SingInTest test readDown
